,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm_x,CO2,N2O
7366,COUNTY,OHIO,39,CENTRAL,50,UNION,159,0,53871,0,99.3,6958.381644,321282.3719
7381,COUNTY,OREGON,41,NORTHEAST,30,UNION,61,0,0,0,69.5,0.0,0.0
7396,COUNTY,PENNSYLVANIA,42,CENTRAL,50,UNION,119,0,12909,0,108.9,1770.954125,18461.73478
7411,COUNTY,SOUTH DAKOTA,46,SOUTHEAST,90,UNION,127,0,123105,0,51.1,15901.16338,1677541.046
7426,COUNTY,FLORIDA,12,CENTRAL,50,VOLUSIA,127,0,0,0,138.5,0.0,0.0
7427,COUNTY,FLORIDA,12,NORTHEAST,30,BAKER,3,0,111,0,138.5,15.22781841,1.512921349
7430,COUNTY,GEORGIA,13,SOUTHWEST,70,BAKER,7,13298,6182,0,128.7,3074.814278,24594.74528
7433,COUNTY,OREGON,41,NORTHEAST,30,BAKER,1,0,81,0,69.5,10.46256637,0.835065231
7436,COUNTY,FLORIDA,12,NORTHEAST,30,DIXIE,29,0,430,0,138.5,58.9906479,21.04318393
7437,COUNTY,FLORIDA,12,NORTHEAST,30,DUVAL,31,0,0,0,138.5,0.0,0.0
7439,COUNTY,TEXAS,48,SOUTH TEXAS,96,DUVAL,131,0,0,0,73.4,0.0,0.0
7441,COUNTY,FLORIDA,12,NORTHEAST,30,HAMILTON,47,0,1928,0,138.5,264.4976027,414.0187397
7450,COUNTY,KANSAS,20,SOUTHWEST,30,HAMILTON,75,0,15150,54500,73.3,6637.660386,69331.73354
7459,COUNTY,TENNESSEE,47,EAST TENNESSEE,60,HAMILTON,65,0,58,0,137.6,7.956878089,0.450297499
7468,COUNTY,TEXAS,48,BLACKLANDS,40,HAMILTON,193,742,0,1335,73.4,232.952843,92.41554621
7477,COUNTY,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,0,62347,0,99.6,8053.205256,430323.0778
7486,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,0,51617,0,106.0,7081.209936,294962.3713
7495,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,0,171923,0,86.4,22206.86171,3271730.838
7504,COUNTY,NEBRASKA,31,EAST,60,HAMILTON,81,0,190914,370,59.9,24691.65917,4034431.81
7513,COUNTY,OHIO,39,SOUTHWEST,70,HAMILTON,61,0,1893,0,99.3,244.5140512,399.1695709
7522,COUNTY,FLORIDA,12,NORTHEAST,30,NASSAU,89,0,132,0,138.5,18.10875703,2.10596158
7524,COUNTY,NEW YORK,36,LONG ISLAND,91,NASSAU,59,0,0,0,106.2,0.0,0.0
7526,COUNTY,FLORIDA,12,NORTHEAST,30,SUWANNEE,121,0,2095,0,138.5,287.4079241,488.6042515
7527,COUNTY,FLORIDA,12,NORTHEAST,30,TAYLOR,123,0,30,0,138.5,4.115626598,0.139939206
7534,COUNTY,GEORGIA,13,WEST CENTRAL,40,TAYLOR,269,0,385,0,128.7,52.817208,16.92341609
7541,COUNTY,TEXAS,48,SOUTHERN LOW PLAINS,22,TAYLOR,441,18085,0,3095,73.4,3149.066894,37786.93298
7548,COUNTY,IOWA,19,SOUTHWEST,70,TAYLOR,173,0,80441,0,86.4,10390.36175,716307.3578
7555,COUNTY,KENTUCKY,21,CENTRAL,30,TAYLOR,217,0,12479,0,124.2,1711.963477,17252.85374
7562,COUNTY,WEST VIRGINIA,54,NORTHWEST,20,TAYLOR,91,0,5,0,114.7,0.685937766,0.009487889
7569,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,TAYLOR,119,0,23613,0,82.9,3050.031849,61745.39407
7576,COUNTY,FLORIDA,12,NORTHWEST,10,GADSDEN,39,0,667,0,138.5,91.50409802,50.13798158
7577,COUNTY,FLORIDA,12,NORTHWEST,10,LEON,73,0,2042,0,138.5,280.1369837,464.2646569
7579,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,LEON,289,0,0,0,73.4,0.0,0.0
7581,COUNTY,FLORIDA,12,NORTHWEST,10,LIBERTY,77,0,0,0,138.5,0.0,0.0
7585,COUNTY,GEORGIA,13,SOUTHEAST,90,LIBERTY,179,0,127,0,128.7,17.42281926,1.955906926
7589,COUNTY,TEXAS,48,UPPER COAST,90,LIBERTY,291,0,0,0,73.4,0.0,0.0
7593,COUNTY,MONTANA,30,NORTH CENTRAL,20,LIBERTY,51,0,0,0,39.0,0.0,0.0
7597,COUNTY,FLORIDA,12,NORTHWEST,10,WAKULLA,129,0,4,0,138.5,0.548750213,0.007147582
7598,COUNTY,FLORIDA,12,SOUTHERN,80,BREVARD,9,0,0,0,138.5,0.0,0.0
7599,COUNTY,FLORIDA,12,SOUTHERN,80,COLLIER,21,0,81,0,138.5,11.11219181,0.835065231
7600,COUNTY,FLORIDA,12,SOUTHERN,80,INDIAN RIVER,61,0,1218,0,138.5,167.0944399,165.8373269
7601,COUNTY,FLORIDA,12,SOUTHERN,80,MANATEE,81,0,0,0,138.5,0.0,0.0
7602,COUNTY,FLORIDA,12,SOUTHERN,80,MIAMI-DADE,86,0,13,0,138.5,1.783438192,0.036179492
7603,COUNTY,FLORIDA,12,SOUTHERN,80,OKEECHOBEE,93,0,0,0,138.5,0.0,0.0
7604,COUNTY,FLORIDA,12,SOUTHERN,80,PALM BEACH,99,0,129,0,138.5,17.69719437,2.015264692
7605,COUNTY,FLORIDA,12,SOUTHERN,80,SARASOTA,115,0,0,0,138.5,0.0,0.0
7606,COUNTY,GEORGIA,13,CENTRAL,50,BLECKLEY,23,5144,2644,0,128.7,1224.075366,3827.55851
7607,COUNTY,GEORGIA,13,CENTRAL,50,DODGE,91,12960,1594,0,128.7,2388.800428,19618.61645
7611,COUNTY,MINNESOTA,27,SOUTHEAST,90,DODGE,39,0,123561,0,69.3,15960.06375,1689991.192
7615,COUNTY,NEBRASKA,31,EAST,60,DODGE,53,0,158901,0,59.9,20524.84271,2794894.251
7619,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,DODGE,27,0,130302,0,82.9,16830.78177,1879410.148
7623,COUNTY,GEORGIA,13,CENTRAL,50,LAURENS,175,10493,1862,0,128.7,2012.472973,13063.66948
7625,COUNTY,SOUTH CAROLINA,45,NORTHWEST,10,LAURENS,59,0,91,0,126.4,12.48406735,1.038880772
7627,COUNTY,GEORGIA,13,CENTRAL,50,NEWTON,217,0,243,0,128.7,33.33657544,6.862322678
7632,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,NEWTON,101,0,1068,0,149.9,146.5163069,127.6826756
7637,COUNTY,MISSOURI,29,SOUTHWEST,70,NEWTON,145,0,5139,0,107.1,705.0068362,2929.957129
7642,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,NEWTON,351,0,29,0,73.4,3.745857097,0.132064774
7647,COUNTY,INDIANA,18,NORTHWEST,10,NEWTON,111,0,78534,0,106.0,10773.88731,682749.7008
7652,COUNTY,GEORGIA,13,CENTRAL,50,PEACH,225,1545,160,0,128.7,280.6568571,279.6650316
7653,COUNTY,GEORGIA,13,CENTRAL,50,TREUTLEN,283,2586,706,0,128.7,529.8744194,828.7329926
7654,COUNTY,GEORGIA,13,CENTRAL,50,TWIGGS,289,6256,612,0,128.7,1131.51221,4552.026579
7655,COUNTY,GEORGIA,13,CENTRAL,50,WHEELER,309,2178,356,0,128.7,413.540074,563.0205914
7659,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,WHEELER,483,13243,962,0,73.4,2235.560567,20292.22741
7663,COUNTY,NEBRASKA,31,NORTH,20,WHEELER,183,0,23074,0,59.9,2980.410574,58959.4229
7667,COUNTY,OREGON,41,SOUTHEAST,80,WHEELER,69,0,0,0,69.5,0.0,0.0
7671,COUNTY,GEORGIA,13,CENTRAL,50,WILKINSON,319,0,143,0,128.7,19.61782011,2.455561939
7672,COUNTY,GEORGIA,13,EAST CENTRAL,60,BULLOCH,31,62540,4351,0,128.7,11069.08836,452031.4404
7673,COUNTY,GEORGIA,13,EAST CENTRAL,60,BURKE,33,35030,11243,339,128.7,7438.801449,155187.3215
7676,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,BURKE,23,0,1750,0,127.9,240.0782182,341.3174216
7679,COUNTY,NORTH DAKOTA,38,NORTHWEST,10,BURKE,13,0,1508,0,45.2,194.784569,253.7260722
7682,COUNTY,GEORGIA,13,EAST CENTRAL,60,CANDLER,43,9532,89,0,128.7,1608.322107,10463.81027
7683,COUNTY,GEORGIA,13,EAST CENTRAL,60,EFFINGHAM,103,9059,240,0,128.7,1549.834619,9457.501143
7685,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,0,103965,126,99.6,13439.7193,1196476.352
7687,COUNTY,GEORGIA,13,EAST CENTRAL,60,EMANUEL,107,19933,1329,0,128.7,3520.059225,45921.69477
7688,COUNTY,GEORGIA,13,EAST CENTRAL,60,GLASCOCK,125,1156,0,0,128.7,193.569655,155.2503442
7689,COUNTY,GEORGIA,13,EAST CENTRAL,60,JENKINS,165,14140,1319,0,128.7,2548.662253,23209.06506
7690,COUNTY,GEORGIA,13,EAST CENTRAL,60,MCDUFFIE,189,0,0,0,128.7,0.0,0.0
7691,COUNTY,GEORGIA,13,EAST CENTRAL,60,SCREVEN,251,31791,10332,0,128.7,6740.75476,128112.2836
7692,COUNTY,GEORGIA,13,EAST CENTRAL,60,WARREN,301,1590,0,0,128.7,266.2419995,292.90249
7705,COUNTY,MISSISSIPPI,28,SOUTHWEST,70,WARREN,149,9212,3065,0,149.9,1963.00897,10816.42057
7718,COUNTY,MISSOURI,29,EAST,60,WARREN,219,0,21354,352,107.1,2961.385914,50500.56732
7731,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,WARREN,185,0,899,0,127.9,123.3316104,90.66210554
7744,COUNTY,TENNESSEE,47,CUMBERLAND PLATEAU,50,WARREN,177,0,6664,0,137.6,914.2178549,4924.2448
7757,COUNTY,VIRGINIA,51,NORTHERN,20,WARREN,187,0,360,0,112.5,49.38751917,14.82835053
7770,COUNTY,ILLINOIS,17,WEST,30,WARREN,187,0,158390,0,99.6,20458.83812,2776947.981
7783,COUNTY,INDIANA,18,WEST CENTRAL,40,WARREN,171,0,77237,0,106.0,10595.95505,660386.2216
7796,COUNTY,IOWA,19,SOUTH CENTRAL,80,WARREN,181,0,63445,0,86.4,8195.031156,445611.977
7809,COUNTY,KENTUCKY,21,CENTRAL,30,WARREN,227,0,35003,0,124.2,4801.975926,135656.347
7822,COUNTY,NEW JERSEY,34,NORTH,20,WARREN,41,0,17701,89,119.6,2436.418182,34703.60738
7835,COUNTY,OHIO,39,SOUTHWEST,70,WARREN,165,0,17825,0,99.3,2302.41044,35191.17714
7848,COUNTY,PENNSYLVANIA,42,NORTHWESTERN,10,WARREN,123,0,1997,0,108.9,273.9635438,444.0870731
7861,COUNTY,GEORGIA,13,NORTH CENTRAL,20,BARROW,13,0,13,0,128.7,1.783438192,0.036179492
7862,COUNTY,GEORGIA,13,NORTH CENTRAL,20,OCONEE,219,0,149,0,128.7,20.44094543,2.657542657
7864,COUNTY,SOUTH CAROLINA,45,NORTHWEST,10,OCONEE,73,0,601,0,126.4,82.4497195,40.78647026
7866,COUNTY,GEORGIA,13,NORTHEAST,30,ELBERT,105,249,0,0,128.7,41.69450181,7.46564032
7868,COUNTY,COLORADO,8,EAST CENTRAL,60,ELBERT,39,0,7484,5804,40.5,1465.170316,6714.349235
7870,COUNTY,GEORGIA,13,NORTHEAST,30,WILKES,317,0,0,0,128.7,0.0,0.0
7872,COUNTY,NORTH CAROLINA,37,NORTHERN MOUNTAIN,10,WILKES,193,0,6557,0,127.9,899.5387867,4767.524319
7874,COUNTY,GEORGIA,13,NORTHWEST,10,BARTOW,15,1548,770,0,128.7,364.843608,344.3463917
7875,COUNTY,GEORGIA,13,NORTHWEST,10,FLOYD,115,0,2304,0,128.7,316.0801227,590.6456692
7881,COUNTY,TEXAS,48,NORTHERN HIGH PLAINS,11,FLOYD,153,193793,12016,7751,73.4,33113.75523,4336564.688
7887,COUNTY,VIRGINIA,51,SOUTHWESTERN,70,FLOYD,63,0,242,0,112.5,33.19938789,6.807297504
7893,COUNTY,INDIANA,18,SOUTH CENTRAL,80,FLOYD,43,0,4240,0,106.0,581.6752258,1995.504832
7899,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,0,143999,0,86.4,18599.98883,2295273.838
7905,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,FLOYD,71,0,150,0,124.2,20.57813299,2.691980888
7911,COUNTY,GEORGIA,13,NORTHWEST,10,GORDON,129,0,2823,0,128.7,387.2804628,885.8597732
7912,COUNTY,GEORGIA,13,NORTHWEST,10,POLK,233,669,781,0,128.7,219.1660562,120.9365364
7922,COUNTY,MISSOURI,29,CENTRAL,50,POLK,167,0,4224,285,107.1,605.294506,1981.476689
7932,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,POLK,149,0,18,0,127.9,2.469375959,0.060056105
7942,COUNTY,TENNESSEE,47,EAST TENNESSEE,60,POLK,139,0,729,0,137.6,100.0097263,59.80111089
7952,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,POLK,373,0,14,0,73.4,1.808344805,0.040512085
7962,COUNTY,IOWA,19,CENTRAL,50,POLK,153,0,84022,0,86.4,10852.91052,781497.7399
7972,COUNTY,MINNESOTA,27,NORTHWEST,10,POLK,119,0,91599,0,69.3,11831.61256,928790.9383
7982,COUNTY,NEBRASKA,31,EAST,60,POLK,143,0,115514,450,59.9,14959.30157,1477048.948
7992,COUNTY,OREGON,41,NORTHWEST,10,POLK,53,0,0,0,69.5,0.0,0.0
8002,COUNTY,WISCONSIN,55,NORTHWEST,10,POLK,95,0,54135,0,82.9,6992.48186,324438.6813
8012,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,ATKINSON,3,15407,2802,0,128.7,2964.267755,28194.83692
8013,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,BEN HILL,17,8838,1591,0,128.7,1698.16904,9277.908143
8014,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,BERRIEN,19,21720,2882,0,128.7,4032.340711,55210.90665
8016,COUNTY,MICHIGAN,26,SOUTHWEST,70,BERRIEN,21,0,44928,0,83.3,5803.236816,223475.7884
8018,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,BROOKS,27,37756,1663,0,128.7,6550.301979,164312.4125
8019,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,CLINCH,65,0,343,0,128.7,47.05533077,13.48273326
8020,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,COLQUITT,71,50150,4543,0,128.7,9020.750146,291619.0555
8021,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,COOK,75,21197,1855,0,128.7,3803.873895,52088.82128
8023,COUNTY,ILLINOIS,17,NORTHEAST,20,COOK,31,0,2504,0,99.6,323.4353852,697.3467867
8025,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,CRISP,81,35312,920,0,128.7,6039.129207,143556.833
8026,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,DOOLY,93,71495,2710,0,128.7,12343.45862,588807.408
8027,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,ECHOLS,101,1300,56,0,128.7,225.364641,196.5423614
8028,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,IRWIN,155,32760,5304,0,128.7,6213.232659,126599.2888
8029,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,JEFF DAVIS,161,18699,2437,0,128.7,3465.43245,40900.46948
8030,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,LANIER,173,9846,1671,0,128.7,1877.931425,11474.35513
8031,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,TELFAIR,271,5599,639,0,128.7,1025.20307,3659.10972
8032,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,TIFT,277,32240,2086,230,128.7,5705.522835,120075.3698
8033,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,TURNER,287,23412,2862,0,128.7,4312.918634,63983.24341
8035,COUNTY,SOUTH DAKOTA,46,SOUTHEAST,90,TURNER,125,0,159558,0,51.1,20609.70575,2818052.962
8037,COUNTY,GEORGIA,13,SOUTH CENTRAL,80,WORTH,321,55128,6564,0,128.7,10131.56133,354388.4771
8040,COUNTY,MISSOURI,29,NORTHWEST,10,WORTH,227,0,13830,0,107.1,1897.303861,21188.70832
8043,COUNTY,IOWA,19,NORTH CENTRAL,20,WORTH,195,0,114024,0,86.4,14728.19344,1439188.653
8046,COUNTY,GEORGIA,13,SOUTHEAST,90,APPLING,1,35684,4000,0,128.7,6523.957453,148276.2729
8047,COUNTY,GEORGIA,13,SOUTHEAST,90,BACON,5,14059,1411,0,128.7,2547.720236,22974.17467
8048,COUNTY,GEORGIA,13,SOUTHEAST,90,BRANTLEY,25,35,599,0,128.7,88.03601734,40.7060811
8049,COUNTY,GEORGIA,13,SOUTHEAST,90,BRYAN,29,0,429,0,128.7,58.85346034,20.9467635
8051,COUNTY,OKLAHOMA,40,SOUTH CENTRAL,60,BRYAN,13,0,1284,0,92.7,165.8510522,184.2032631
8053,COUNTY,GEORGIA,13,SOUTHEAST,90,EVANS,109,5467,878,0,128.7,1035.887786,3531.381532
8054,COUNTY,GEORGIA,13,SOUTHEAST,90,PIERCE,229,17614,4582,0,128.7,3578.018891,38036.82196
8059,COUNTY,NEBRASKA,31,NORTHEAST,30,PIERCE,139,0,130381,0,59.9,16840.98601,1881689.645
8064,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,PIERCE,69,0,20860,0,45.2,2694.43376,48190.37464
8069,COUNTY,WASHINGTON,53,WESTERN,10,PIERCE,53,0,19,0,97.6,2.454182236,0.065495523
8074,COUNTY,WISCONSIN,55,WEST CENTRAL,40,PIERCE,93,0,67989,0,82.9,8781.968213,511721.6644
8079,COUNTY,GEORGIA,13,SOUTHEAST,90,TATTNALL,267,7575,1830,0,128.7,1519.470296,6982.844763
8080,COUNTY,GEORGIA,13,SOUTHEAST,90,TOOMBS,279,8523,4186,0,128.7,2001.424684,10311.27368
8081,COUNTY,GEORGIA,13,SOUTHEAST,90,WARE,299,6240,1925,0,128.7,1308.960302,4899.466997
8082,COUNTY,GEORGIA,13,SOUTHEAST,90,WAYNE,305,5530,1623,0,128.7,1148.641724,3818.378737
8097,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,WAYNE,153,0,1082,0,149.9,148.4369326,131.0330369
8112,COUNTY,MISSOURI,29,SOUTH CENTRAL,80,WAYNE,223,0,6343,0,107.1,870.1806503,4461.686579
8127,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,WAYNE,191,4434,24767,92,127.9,4148.520701,70193.75601
8142,COUNTY,TENNESSEE,47,WESTERN RIM,30,WAYNE,181,0,3412,0,137.6,468.0839317,1293.123531
8157,COUNTY,ILLINOIS,17,SOUTHEAST,90,WAYNE,191,0,119771,940,99.6,15551.25158,1587925.876
8172,COUNTY,INDIANA,18,EAST CENTRAL,60,WAYNE,177,0,52239,0,106.0,7166.540594,302113.1229
8187,COUNTY,IOWA,19,SOUTH CENTRAL,80,WAYNE,185,0,55703,0,86.4,7195.016478,343503.1901
8202,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,WAYNE,231,0,4196,0,124.2,575.6389734,1954.362118
8217,COUNTY,MICHIGAN,26,SOUTHEAST,90,WAYNE,163,0,1124,0,83.3,145.1842544,141.3444461
8232,COUNTY,NEBRASKA,31,NORTHEAST,30,WAYNE,179,0,123355,0,59.9,15933.45525,1684361.084
8247,COUNTY,NEW YORK,36,WESTERN,40,WAYNE,117,0,21527,0,106.2,2953.236459,51320.50089
8262,COUNTY,OHIO,39,NORTHEAST,30,WAYNE,169,0,55428,0,99.3,7159.49542,340120.25
8277,COUNTY,PENNSYLVANIA,42,NORTHEASTERN,30,WAYNE,127,0,709,0,108.9,97.26597526,56.59099911
8292,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WAYNE,99,0,109,0,114.7,14.9534433,1.461532721
8307,COUNTY,GEORGIA,13,SOUTHWEST,70,DECATUR,87,46223,11396,138,128.7,9315.828491,260185.5759
8312,COUNTY,KANSAS,20,NORTHWEST,10,DECATUR,39,0,72367,9511,73.3,10164.32276,581087.3192
8317,COUNTY,TENNESSEE,47,WEST TENNESSEE,20,DECATUR,39,0,320,0,137.6,43.90001704,11.76402013
8322,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,0,75236,0,106.0,10321.44276,626614.4726
8327,COUNTY,IOWA,19,SOUTH CENTRAL,80,DECATUR,53,0,33112,0,86.4,4276.9938,121397.2953
8332,COUNTY,GEORGIA,13,SOUTHWEST,70,DOUGHERTY,95,2565,890,0,128.7,551.6005254,849.0144451
8333,COUNTY,GEORGIA,13,SOUTHWEST,70,EARLY,99,29753,6131,0,128.7,5823.171236,106023.236
8334,COUNTY,GEORGIA,13,SOUTHWEST,70,GRADY,131,21978,6258,0,128.7,4538.687422,59927.7514
8336,COUNTY,OKLAHOMA,40,CENTRAL,50,GRADY,51,4001,2714,2501,92.7,1203.231152,2761.095699
8338,COUNTY,GEORGIA,13,SOUTHWEST,70,MITCHELL,205,38694,6638,0,128.7,7389.876091,177138.8873
8343,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,0,32100,47521,73.3,8227.652678,147481.8273
8348,COUNTY,NORTH CAROLINA,37,WESTERN MOUNTAIN,20,MITCHELL,121,0,29,0,127.9,3.978439044,0.132064774
8353,COUNTY,TEXAS,48,SOUTHERN LOW PLAINS,22,MITCHELL,335,39261,0,445,73.4,6297.511314,177340.8861
8358,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,0,146369,0,86.4,18906.11577,2371445.634
8363,COUNTY,GEORGIA,13,SOUTHWEST,70,QUITMAN,239,0,0,0,128.7,0.0,0.0
8365,COUNTY,MISSISSIPPI,28,UPPER DELTA,10,QUITMAN,119,25186,8062,330,149.9,5353.236526,80196.79107
8367,COUNTY,GEORGIA,13,SOUTHWEST,70,SEMINOLE,253,24563,11498,0,128.7,5690.40276,84073.41064
8368,COUNTY,GEORGIA,13,SOUTHWEST,70,STEWART,259,853,0,0,128.7,142.8329721,84.83132655
8370,COUNTY,TENNESSEE,47,WESTERN RIM,30,STEWART,161,0,1766,0,137.6,242.273219,347.5654825
8372,COUNTY,GEORGIA,13,SOUTHWEST,70,TERRELL,273,29253,12269,266,128.7,6605.597868,115138.8471
8373,COUNTY,GEORGIA,13,SOUTHWEST,70,THOMAS,275,41021,3349,165,128.7,7343.262366,194837.0124
8376,COUNTY,KANSAS,20,NORTHWEST,10,THOMAS,193,0,226689,35554,73.3,32334.42995,5706748.622
8379,COUNTY,NEBRASKA,31,NORTH,20,THOMAS,171,0,0,0,59.9,0.0,0.0
8382,COUNTY,GEORGIA,13,SOUTHWEST,70,WEBSTER,307,9480,2260,0,128.7,1897.449,10917.39877
8389,COUNTY,MISSISSIPPI,28,CENTRAL,50,WEBSTER,155,6151,2885,0,149.9,1425.757499,5284.888626
8396,COUNTY,MISSOURI,29,SOUTH CENTRAL,80,WEBSTER,225,0,2418,0,107.1,331.7195038,650.380175
8403,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,0,205014,0,86.4,26481.143,4652342.643
8410,COUNTY,KENTUCKY,21,MIDWESTERN,20,WEBSTER,233,0,42708,0,124.2,5859.006024,201939.313
8417,COUNTY,NEBRASKA,31,SOUTH,80,WEBSTER,181,0,80618,2971,59.9,10668.39094,719597.1278
8424,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WEBSTER,101,0,0,0,114.7,0.0,0.0
8431,COUNTY,GEORGIA,13,WEST CENTRAL,40,SCHLEY,249,665,190,0,128.7,137.4184211,56.00668107
8432,COUNTY,GEORGIA,13,CENTRAL,50,BUTTS,35,0,0,0,128.7,0.0,0.0
8433,COUNTY,GEORGIA,13,CENTRAL,50,JASPER,159,0,66,0,128.7,9.054378515,0.570847854
8441,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,JASPER,61,0,90,0,149.9,12.34687979,1.017503075
8449,COUNTY,MISSOURI,29,SOUTHWEST,70,JASPER,97,0,31853,82,107.1,4377.262401,112342.9383
8457,COUNTY,SOUTH CAROLINA,45,SOUTHERN,80,JASPER,53,0,415,0,126.4,56.9328346,19.62012086
8465,COUNTY,TEXAS,48,EAST TEXAS SOUTH,52,JASPER,241,0,17,0,73.4,2.195847264,0.054838053
8473,COUNTY,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,0,89631,0,99.6,11577.41095,889312.2045
8481,COUNTY,INDIANA,18,NORTHWEST,10,JASPER,73,0,130331,0,106.0,17879.791,1880246.765
8489,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,0,155986,0,86.4,20148.31949,2693295.36
8497,COUNTY,GEORGIA,13,CENTRAL,50,JONES,169,0,0,0,128.7,0.0,0.0
8503,COUNTY,MISSISSIPPI,28,SOUTHEAST AND COASTAL,90,JONES,67,0,727,0,149.9,99.73535121,59.47611515
8509,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,JONES,103,13079,14015,0,127.9,4112.733315,41450.91133
8515,COUNTY,TEXAS,48,SOUTHERN LOW PLAINS,22,JONES,253,79795,0,1852,73.4,12880.59621,732478.2425
8521,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,0,161120,0,86.4,20811.46536,2873495.815
8527,COUNTY,SOUTH DAKOTA,46,SOUTH CENTRAL,80,JONES,75,0,30790,24107,51.1,6047.514494,113579.847
8533,COUNTY,GEORGIA,13,CENTRAL,50,ROCKDALE,247,0,14,0,128.7,1.920625746,0.040512085
8534,COUNTY,GEORGIA,13,EAST CENTRAL,60,RICHMOND,245,0,0,0,128.7,0.0,0.0
8537,COUNTY,NORTH CAROLINA,37,SOUTHERN PIEDMONT,60,RICHMOND,153,0,2200,0,127.9,301.8126172,538.6604258
8540,COUNTY,VIRGINIA,51,EASTERN,60,RICHMOND,159,0,8858,0,112.5,1215.207347,8696.515831
8543,COUNTY,GEORGIA,13,NORTH CENTRAL,20,DAWSON,85,0,262,0,128.7,35.94313895,7.949860333
8547,COUNTY,TEXAS,48,SOUTHERN HIGH PLAINS,12,DAWSON,115,259949,0,3681,73.4,41759.22474,7772407.381
8551,COUNTY,MONTANA,30,NORTHEAST,30,DAWSON,21,0,3371,0,39.0,435.4235957,1262.287287
8555,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,0,168874,826,59.9,21883.97167,3156728.842
8559,COUNTY,GEORGIA,13,NORTH CENTRAL,20,FANNIN,111,0,611,0,128.7,83.82159504,42.14138372
8561,COUNTY,TEXAS,48,BLACKLANDS,40,FANNIN,147,2965,24974,0,73.4,3698.532021,70081.40809
8563,COUNTY,GEORGIA,13,NORTH CENTRAL,20,FORSYTH,117,0,0,0,128.7,0.0,0.0
8565,COUNTY,NORTH CAROLINA,37,NORTHERN PIEDMONT,40,FORSYTH,67,0,887,35,127.9,124.8555346,88.3299132
8567,COUNTY,GEORGIA,13,NORTH CENTRAL,20,GILMER,123,0,322,0,128.7,44.17439215,11.90882478
8569,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,GILMER,21,0,16,0,114.7,2.195000852,0.049841365
8571,COUNTY,GEORGIA,13,NORTH CENTRAL,20,GWINNETT,135,0,0,0,128.7,0.0,0.0
8572,COUNTY,GEORGIA,13,NORTH CENTRAL,20,HALL,139,0,894,0,128.7,122.6456726,89.66311617
8575,COUNTY,TEXAS,48,NORTHERN LOW PLAINS,21,HALL,191,105031,1461,0,73.4,16933.56774,1269150.502
